User,Tweet Count,Tweet,Timestamp,Compound Score,Positive Score,Neutral Score,Negative Score
CBSNews,21,"Former prisoner of war remembers McCain: ""John never forgot the other POWs"" https://t.co/U3yk52ofH7 https://t.co/VVS5NChVYL",Wed Aug 29 06:18:03 +0000 2018,-0.8126,0.0,0.0,0.0
CBSNews,22,Almost half of Americans can't pay for their basic needs https://t.co/bEFNVuDhJ0 https://t.co/rYcdL5dOkG,Wed Aug 29 06:03:03 +0000 2018,0.0762,0.105,0.105,0.105
CBSNews,23,"Florida's first African-American nominee for governor Andrew Gillum wins Tuesday's primary in a shocking upset, tel… https://t.co/AK9FmlveXd",Wed Aug 29 05:44:35 +0000 2018,-0.1531,0.168,0.168,0.168
CBSNews,24,4.4 magnitude earthquake shakes Southern California near Los Angeles https://t.co/lundXCJuO9 https://t.co/T2QkTUhJC0,Wed Aug 29 05:20:02 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,25,"Arizona Governor Doug Ducey will wait to name Sen. McCain’s replacement until he is laid to rest, but @NickRiccardi… https://t.co/yhJFiVgIVV",Wed Aug 29 04:58:38 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,26,Projected winner of the Arizona GOP Senate primary Rep. Martha McSally spoke to her supporters of her legislation t… https://t.co/GLgDHHDLBC,Wed Aug 29 04:38:44 +0000 2018,0.7717,0.271,0.271,0.271
CBSNews,27,"Martha McSally holds a moment of silence for late Arizona Senator John McCain, as she claims victory in the state’s… https://t.co/BOQLT9P6eN",Wed Aug 29 04:01:56 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,28,"Congresswoman Martha McSally, the favorite of the National Republican establishment, claims victory in the Arizona… https://t.co/xLJCQnA37r",Wed Aug 29 03:49:17 +0000 2018,0.4588,0.167,0.167,0.167
CBSNews,29,Arizona Governor Doug Ducey is the projected winner of the state's GOP gubernatorial primary.… https://t.co/uzE5oCjowR,Wed Aug 29 03:43:28 +0000 2018,0.5859,0.213,0.213,0.213
CBSNews,30,.@SalvantoCBS breaks down tonight’s Florida primary results and predicts possible turnouts for the election in Nove… https://t.co/wnNXjpBdmt,Wed Aug 29 03:22:34 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,31,Remains found in a fish tank at the home of a missing man in San Francisco https://t.co/cCVpTpiLra https://t.co/2kxbMYv0Kn,Wed Aug 29 03:11:35 +0000 2018,-0.296,0.0,0.0,0.0
CBSNews,32,"In Florida's race for governor, @DrMacManus says Tallahassee mayor Andrew Gillum and Rep. Ron DeSantis need to targ… https://t.co/GSlUqQOgii",Wed Aug 29 02:46:37 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,33,Russia to hold its biggest war games since the Cold War https://t.co/WTGOvFvrrj https://t.co/l6WFfZsf4H,Wed Aug 29 02:28:34 +0000 2018,-0.8316,0.0,0.0,0.0
CBSNews,34,"Comedian Eddie Murphy is expecting baby number 10, his second with model girlfriend Paige Butcher… https://t.co/Jk6sXdpAj7",Wed Aug 29 02:11:54 +0000 2018,0.4404,0.218,0.218,0.218
CBSNews,35,These are the deadliest hurricanes in U.S. history https://t.co/Yemh1X7Mf3 https://t.co/9jkfvofTPA,Wed Aug 29 01:49:45 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,36,"RT @edokeefe: In terms of sheer size and scope and feathers in the cap, this Andrew Gillum race is a far bigger prize for the Sanders wing/…",Wed Aug 29 01:43:57 +0000 2018,0.5106,0.117,0.117,0.117
CBSNews,37,"""This race is about every single last one of us, right? Those of us in this room...those who could not vote for me… https://t.co/LMw7xMUmSe",Wed Aug 29 01:42:28 +0000 2018,0.0,0.0,0.0,0.0
CBSNews,38,Tallahassee mayor Andrew Gillum projected to be winner of the Florida Democratic gubernatorial primary.… https://t.co/R0s8n2CSua,Wed Aug 29 01:37:53 +0000 2018,0.5859,0.213,0.213,0.213
